id,name,common_name,calories,protein,carbs,fat,sodium
D2000401,七股香洋香瓜,"甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜,洋香瓜,網仔瓜,哈蜜瓜",40,0.6,10.5,0.1,9
D2000402,天香洋香瓜,"甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜,洋香瓜,網仔瓜,哈蜜瓜",44,0.8,11.6,0,9
D2000403,秋香洋香瓜,"甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜,洋香瓜,網仔瓜,哈蜜瓜",34,1,8.4,0,16
D2000404,紅寶石洋香瓜,"甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜,洋香瓜,網仔瓜,哈蜜瓜",39,1.2,9.6,0,14
D2000405,香華洋香瓜,"甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜,洋香瓜,網仔瓜,哈蜜瓜",30,0.7,7.7,0,20
D2000406,藍寶石洋香瓜,"甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜,洋香瓜,網仔瓜,哈蜜瓜",34,1.1,8.2,0,12
D2100101,土芒果,"檬果,檨仔,菴羅果(柴檨,土檨仔)",54,0.6,13.8,0.3,2
D21002,芒果平均值(西洋種),"檬果,檨仔,菴羅果",50,0.6,13,0.2,5
D2100201,肯特芒果,"檬果,檨仔,菴羅果",49,0.5,12.7,0.2,17
D2100202,海頓芒果,"檬果,檨仔,菴羅果",60,0.4,15.7,0.2,4
D2100203,凱特芒果,"檬果,檨仔,菴羅果",50,1.1,12.5,0.2,1
D2100204,愛文芒果,"檬果,檨仔,菴羅果(蘋果芒果)",42,0.4,11,0.2,1
D2100205,聖心芒果,"檬果,檨仔,菴羅果",50,0.5,12.9,0.2,0
D2100301,黑香芒果,"檬果,檨仔,菴羅果",66,0.8,16.9,0.3,0
D21004,芒果平均值(新興種),"檬果,檨仔,菴羅果",56,0.6,14.4,0.2,1
D2100401,四季芒果,"檬果,檨仔,菴羅果(四季檨)",60,0.6,15.6,0.2,0
D2100402,玉文芒果,"檬果,檨仔,菴羅果",62,0.5,16.1,0.3,0
D2100403,金煌芒果,"檬果,檨仔,菴羅果",52,0.8,13,0.2,8
D2100404,金蜜芒果,"檬果,檨仔,菴羅果",64,0.6,16.3,0.4,1
D2100405,金興芒果,"檬果,檨仔,菴羅果",41,0.6,10.6,0.1,0
D2100406,香水芒果,"檬果,檨仔,菴羅果",65,0.6,17.1,0.2,0
D2100407,蓮花芒果,"檬果,檨仔,菴羅果",47,0.4,12.2,0.2,0
D2110101,芒果乾,,334,0.6,90,1,219
D22001,荔枝平均值,"丹荔,荔錦,麗枝,離枝",65,1,16.5,0.2,1
D2200101,玉荷苞荔枝,"丹荔,荔錦,麗枝,離枝",68,1.2,17.3,0.2,0
D2200102,黑葉仔荔枝,"丹荔,荔錦,麗枝,離枝",62,0.9,15.8,0.2,2
D2200201,冷凍荔枝,"丹荔,荔錦,麗枝,離枝",28,0.4,7.2,0.1,9
D2300101,龍眼,"桂圓,龍目,圓眼",72,1.1,18,0.4,3
D2310101,龍眼乾,"桂圓乾,龍目乾,圓眼乾",276,5.1,70.9,0.5,5
D2310201,帶殼龍眼乾,"桂圓乾,龍目乾,圓眼乾",278,4.6,72.9,0.1,0
D24001,李子平均值(青皮黃肉),李子,48,0.7,11.7,0.4,0
D2400101,加州青李,李子,47,0.6,12,0.2,0
D2400102,翡翠李,李子,48,0.7,11.4,0.5,0
D24002,李子平均值(紅皮紅肉),李子,39,0.6,9.6,0.3,0
D2400201,紅肉李(大),李子,41,0.5,10,0.3,0
D2400202,紅肉李(小),李子,38,0.7,9.2,0.3,0
D24003,李子平均值(紅皮黃肉),李子,48,0.7,11.9,0.3,1
D2400301,加州紅李(台灣),李子,45,0.3,10.6,0.6,0
D2400302,加州紅李(進口),李子,60,0.8,15.3,0.3,4
D2400303,加州蜜李(進口),李子,66,1.3,17.1,0.1,0
D2400304,香水李,李子,36,0.7,8.8,0.3,0
D2400305,桃接李(大),李子,38,0.6,9.2,0.3,1
D2400306,桃接李(小),李子,36,0.7,8.6,0.3,0
D2400307,蜜棗李(進口),李子,53,0.6,13.6,0.2,0
